date,conf,status1,s1
31/01/2012,,Normal value,1.82
29/02/2012,,Normal value,1.85
31/03/2012,,Normal value,1.83
30/04/2012,,Normal value,1.62
31/05/2012,,Normal value,1.34
30/06/2012,,Normal value,1.3
31/07/2012,,Normal value,1.24
31/08/2012,,Normal value,1.34
30/09/2012,,Normal value,1.49
31/10/2012,,Normal value,1.47
30/11/2012,,Normal value,1.34
31/12/2012,,Normal value,1.3
31/01/2013,,Normal value,1.51
28/02/2013,,Normal value,1.54
31/03/2013,,Normal value,1.35
30/04/2013,,Normal value,1.2
31/05/2013,,Normal value,1.29
30/06/2013,,Normal value,1.53
31/07/2013,,Normal value,1.56
31/08/2013,,Normal value,1.73
30/09/2013,,Normal value,1.89
31/10/2013,,Normal value,1.76
30/11/2013,,Normal value,1.68
31/12/2013,,Normal value,1.8
31/01/2014,,Normal value,1.76
28/02/2014,,Normal value,1.56
31/03/2014,,Normal value,1.51
30/04/2014,,Normal value,1.46
31/05/2014,,Normal value,1.33
30/06/2014,,Normal value,1.26
31/07/2014,,Normal value,1.11
31/08/2014,,Normal value,0.95
30/09/2014,,Normal value,0.92
31/10/2014,,Normal value,0.79
30/11/2014,,Normal value,0.72
31/12/2014,,Normal value,0.59
31/01/2015,,Normal value,0.39
28/02/2015,,Normal value,0.3
31/03/2015,,Normal value,0.23
30/04/2015,,Normal value,0.12
31/05/2015,,Normal value,0.56
30/06/2015,,Normal value,0.79
31/07/2015,,Normal value,0.71
31/08/2015,,Normal value,0.61
30/09/2015,,Normal value,0.65
31/10/2015,,Normal value,0.52
30/11/2015,,Normal value,0.52
31/12/2015,,Normal value,0.55
31/01/2016,,Normal value,0.43
29/02/2016,,Normal value,0.17
31/03/2016,,Normal value,0.17
30/04/2016,,Normal value,0.13
31/05/2016,,Normal value,0.13
30/06/2016,,Normal value,-0.02
31/07/2016,,Normal value,-0.15
31/08/2016,,Normal value,-0.13
30/09/2016,,Normal value,-0.09
31/10/2016,,Normal value,0
30/11/2016,,Normal value,0.19
31/12/2016,,Normal value,0.25
31/01/2017,,Normal value,0.25
28/02/2017,,Normal value,0.26
31/03/2017,,Normal value,0.35
30/04/2017,,Normal value,0.22
31/05/2017,,Normal value,0.34
30/06/2017,,Normal value,0.25
31/07/2017,,Normal value,0.46
31/08/2017,,Normal value,0.35
30/09/2017,,Normal value,0.35
31/10/2017,,Normal value,0.37
30/11/2017,,Normal value,0.31
31/12/2017,,Normal value,0.3
31/01/2018,,Normal value,0.47
28/02/2018,,Normal value,0.66
31/03/2018,,Normal value,0.53
30/04/2018,,Normal value,0.48
31/05/2018,,Normal value,0.45
30/06/2018,,Normal value,0.33
31/07/2018,,Normal value,0.28
31/08/2018,,Normal value,0.29
30/09/2018,,Normal value,0.37
31/10/2018,,Normal value,0.4
30/11/2018,,Normal value,0.31
31/12/2018,,Normal value,0.19
31/01/2019,,Normal value,0.13
28/02/2019,,Normal value,0.06
31/03/2019,,Normal value,0.01
30/04/2019,,Normal value,-0.04
31/05/2019,,Normal value,-0.13
30/06/2019,,Normal value,-0.31
31/07/2019,,Normal value,-0.39
31/08/2019,,Normal value,-0.65
30/09/2019,,Normal value,-0.59
31/10/2019,,Normal value,-0.47
30/11/2019,,Normal value,-0.35
31/12/2019,,Normal value,-0.3
31/01/2020,,Normal value,-0.31
29/02/2020,,Normal value,-0.47
31/03/2020,,Normal value,-0.54
30/04/2020,,Normal value,-0.45
31/05/2020,,Normal value,-0.52
30/06/2020,,Normal value,-0.43
31/07/2020,,Normal value,-0.52
31/08/2020,,Normal value,-0.52
30/09/2020,,Normal value,-0.52
31/10/2020,,Normal value,-0.61
30/11/2020,,Normal value,-0.61
31/12/2020,,Normal value,-0.62
31/01/2021,,Normal value,-0.58
28/02/2021,,Normal value,-0.45
31/03/2021,,Normal value,-0.36
30/04/2021,,Normal value,-0.33
31/05/2021,,Normal value,-0.22
30/06/2021,,Normal value,-0.29
31/07/2021,,Normal value,-0.45
31/08/2021,,Normal value,-0.54
30/09/2021,,Normal value,-0.36
31/10/2021,,Normal value,-0.21
30/11/2021,,Normal value,-0.31
31/12/2021,,Normal value,-0.38
31/01/2022,,Normal value,-0.12
28/02/2022,,Normal value,0.15
31/03/2022,,Normal value,0.28
30/04/2022,,Normal value,0.74
31/05/2022,,Normal value,0.95
30/06/2022,,Normal value,1.45
31/07/2022,,Normal value,1.08
31/08/2022,,Normal value,1.03
30/09/2022,,Normal value,1.8
31/10/2022,,Normal value,2.19
30/11/2022,,Normal value,2.07
